Model,HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,Personalization@10,UsersWithRecs,UsersEvaluated,Family
Content TF-IDF,0.0365760731521463,0.003657607315214631,0.0365760731521463,0.01705727433175048,0.011219867677830595,0.011219867677830595,0.628808864265928,0.9168041881212309,3933,3937,Content-based
Content BoW,0.03225806451612903,0.0032258064516129032,0.03225806451612903,0.015187806359565636,0.010153670307340613,0.010153670307340613,0.4203601108033241,0.8227452710815412,3933,3937,Content-based
Content BERT,0.024638049276098552,0.0024638049276098557,0.024638049276098552,0.01260218394470949,0.008953921082445339,0.008953921082445339,0.7825484764542936,0.9679026624037451,3933,3937,Content-based
Bayesian Popular,0.015748031496062992,0.0015748031496062994,0.015748031496062992,0.00793359230388723,0.005600106438308113,0.005600106438308113,0.01662049861495845,0.051462981907871796,3937,3937,Non-personalized
Item-based CF,0.014478028956057912,0.0014478028956057916,0.014478028956057912,0.006598599968964798,0.004243118803697925,0.004243118803697925,0.6502770083102493,0.9613796497657905,3937,3937,Collaborative filtering
Weighted Popular,0.013208026416052832,0.0013208026416052833,0.013208026416052832,0.006125828725204701,0.004016534223544637,0.004016534223544637,0.01731301939058172,0.07429177102122986,3937,3937,
SVD,0.009906019812039623,0.0009906019812039625,0.009906019812039623,0.004911206887642408,0.003394636154351674,0.003394636154351674,0.13642659279778394,0.7682431760249501,3937,3937,Collaborative filtering
Popular,0.00762001524003048,0.000762001524003048,0.00762001524003048,0.003404463824588135,0.002125036789756119,0.002125036789756119,0.012465373961218837,0.02151433870071129,3937,3937,Non-personalized
User-based CF,0.006858013716027432,0.0006858013716027432,0.006858013716027432,0.0032768066479587415,0.0022026480560897632,0.0022026480560897632,0.685595567867036,0.9711400219249479,3937,3937,Collaborative filtering
Random,0.008128016256032511,0.0008128016256032512,0.008128016256032511,0.003249225374553941,0.0018342465256359084,0.0018342465256359084,1.0,0.9963536567458964,3937,3937,Non-personalized
